Job Title,Company Name,Location,Category,Seniority Level,Employment Type,Job Description,Extracted Skills,Extracted Experience (Years),Extracted Education,Extracted Duties
Software Engineer,AgroGrow Co.,"Los Angeles, CA",Information Technology (IT),Senior,Contract,"As a Software Engineer, you will be expected to handle responsibilities including frontend, cloud, engineer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Information or related field is required.. Candidates must have strong skills in cloud, engineer, frontend, developer. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in cloud or equivalent hands-on experience.","cloud, engineer, software, frontend, developer, ui",3,Diploma in Information Or Related Field,"As a Software Engineer, you will be expected to handle responsibilities including frontend, cloud, engineer, collaborating with cross-functional teams, and supporting strategic goals"
HR Manager,AgroGrow Co.,"Austin, TX",Human Resources (HR),Entry-level,Part-time,"As a HR Manager, you will be expected to handle responsibilities including recruitment, employee relations, talent, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Human or related field is required.. Candidates must have strong skills in recruitment, hr, employee relations, payroll. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in employee relations or equivalent hands-on experience.","hr, employee relations, payroll, talent, recruitment, ui",2,Bachelor in Human Or Related Field,"As a HR Manager, you will be expected to handle responsibilities including recruitment, employee relations, talent, collaborating with cross-functional teams, and supporting strategic goals"
Clinic Coordinator,TechNova Solutions,"Chicago, IL",Healthcare Professional,Mid,Full-time,"As a Clinic Coordinator, you will be expected to handle responsibilities including hospital, clinic, diagnosis, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Healthcare or related field is required.. Candidates must have strong skills in patient, nurse, clinic, hospital. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in treatment or equivalent hands-on experience.","treatment, hospital, nurse, clinic, ui, diagnosis, patient",5,Phd in A Relevant Field In Healthcare Or Related Field,"As a Clinic Coordinator, you will be expected to handle responsibilities including hospital, clinic, diagnosis, collaborating with cross-functional teams, and supporting strategic goals"
Sales Executive,BlueSky HR,Hybrid,Sales,Mid,Full-time,"As a Sales Executive, you will be expected to handle responsibilities including sales, pipeline, closing, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Sales or related field is required.. Candidates must have strong skills in crm, closing, lead, quota. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in lead or equivalent hands-on experience.","sales, lead, crm, closing, pipeline, ui, quota",2,Phd in A Relevant Field In Sales Or Related Field,"As a Sales Executive, you will be expected to handle responsibilities including sales, pipeline, closing, collaborating with cross-functional teams, and supporting strategic goals"
Graphic Designer,GourmetNest,"Los Angeles, CA",Designer (Graphic/UI/UX),Senior,Part-time,"As a Graphic Designer, you will be expected to handle responsibilities including ux, figma, wireframe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Designer or related field is required.. Candidates must have strong skills in figma, ux, ui, wireframe. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in designer or equivalent hands-on experience.","ux, figma, wireframe, designer, ui",4,Phd in A Relevant Field In Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including ux, figma, wireframe, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,BlueSky HR,"New York, NY",Chef,Mid,Full-time,"As a Sous Chef, you will be expected to handle responsibilities including menu, chef, recipe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Chef or related field is required.. Candidates must have strong skills in menu, chef, recipe, kitchen. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in cooking or equivalent hands-on experience.","chef, menu, recipe, ui, kitchen, cooking",5,Master in Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including menu, chef, recipe, collaborating with cross-functional teams, and supporting strategic goals"
Farm Operations Manager,FitCore Gym,"New York, NY",Agriculture Professional,Mid,Full-time,"As a Farm Operations Manager, you will be expected to handle responsibilities including irrigation, soil, farming, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Agriculture or related field is required.. Candidates must have strong skills in farming, agriculture, crop, irrigation. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in farming or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",4,Diploma in Agriculture Or Related Field,"As a Farm Operations Manager, you will be expected to handle responsibilities including irrigation, soil, farming, collaborating with cross-functional teams, and supporting strategic goals"
Talent Acquisition Specialist,SalesSphere Ltd.,"Austin, TX",Human Resources (HR),Mid,Full-time,"As a Talent Acquisition Specialist, you will be expected to handle responsibilities including hr, talent, payroll, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Human or related field is required.. Candidates must have strong skills in recruitment, payroll, talent, hr. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in talent or equivalent hands-on experience.","hr, payroll, talent, recruitment, ui",2,Associate in Human Or Related Field,"As a Talent Acquisition Specialist, you will be expected to handle responsibilities including hr, talent, payroll, collaborating with cross-functional teams, and supporting strategic goals"
Business Development Manager,PixelCraft Studios,Hybrid,Business Development,Entry-level,Temporary,"As a Business Development Manager, you will be expected to handle responsibilities including growth, leads, business, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Business or related field is required.. Candidates must have strong skills in crm, partnership, business, sales. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in leads or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",4,Master in Business Or Related Field,"As a Business Development Manager, you will be expected to handle responsibilities including growth, leads, business, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,BlueSky HR,Remote,Advocate (Lawyer),Senior,Temporary,"As a Legal Associate, you will be expected to handle responsibilities including case, legal, court, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Advocate or related field is required.. Candidates must have strong skills in legal, lawyer, contract, case. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in legal or equivalent hands-on experience.","contract, court, legal, ui, case, lawyer",4,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including case, legal, court, collaborating with cross-functional teams, and supporting strategic goals"
Pastry Chef,StratEdge Consulting,"New York, NY",Chef,Senior,Part-time,"As a Pastry Chef, you will be expected to handle responsibilities including chef, culinary, recipe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Chef or related field is required.. Candidates must have strong skills in chef, cooking, kitchen, recipe. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in kitchen or equivalent hands-on experience.","chef, culinary, recipe, ui, kitchen, cooking",6,Master in Chef Or Related Field,"As a Pastry Chef, you will be expected to handle responsibilities including chef, culinary, recipe, collaborating with cross-functional teams, and supporting strategic goals"
UI/UX Designer,LegalBridge LLP,Remote,Designer (Graphic/UI/UX),Entry-level,Contract,"As a UI/UX Designer, you will be expected to handle responsibilities including figma, prototype, wireframe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Designer or related field is required.. Candidates must have strong skills in ui, ux, wireframe, prototype. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in ux or equivalent hands-on experience.","prototype, ux, figma, wireframe, designer, ui",6,Diploma in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including figma, prototype, wireframe, collaborating with cross-functional teams, and supporting strategic goals"
Software Engineer,LegalBridge LLP,"Chicago, IL",Information Technology (IT),Senior,Temporary,"As a Software Engineer, you will be expected to handle responsibilities including cloud, backend, software, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Information or related field is required.. Candidates must have strong skills in frontend, developer, backend, software. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in developer or equivalent hands-on experience.","cloud, engineer, software, frontend, backend, developer, ui",3,High school in Information Or Related Field,"As a Software Engineer, you will be expected to handle responsibilities including cloud, backend, software, collaborating with cross-functional teams, and supporting strategic goals"
Product Designer,GourmetNest,Remote,Designer (Graphic/UI/UX),Entry-level,Full-time,"As a Product Designer, you will be expected to handle responsibilities including figma, wireframe, designer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Designer or related field is required.. Candidates must have strong skills in figma, adobe, ux, designer. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in prototype or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",4,High school in Designer Or Related Field,"As a Product Designer, you will be expected to handle responsibilities including figma, wireframe, designer, collaborating with cross-functional teams, and supporting strategic goals"
Software Engineer,EduMentor Academy,"Los Angeles, CA",Information Technology (IT),Entry-level,Contract,"As a Software Engineer, you will be expected to handle responsibilities including frontend, python, software, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Information or related field is required.. Candidates must have strong skills in engineer, developer, frontend, backend. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in developer or equivalent hands-on experience.","engineer, python, software, frontend, backend, developer, ui",4,Bachelor in Information Or Related Field,"As a Software Engineer, you will be expected to handle responsibilities including frontend, python, software, collaborating with cross-functional teams, and supporting strategic goals"
HR Manager,AgroGrow Co.,"Los Angeles, CA",Human Resources (HR),Entry-level,Temporary,"As a HR Manager, you will be expected to handle responsibilities including recruitment, payroll, hr, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Human or related field is required.. Candidates must have strong skills in payroll, hr, talent, employee relations. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in employee relations or equivalent hands-on experience.","hr, employee relations, payroll, talent, recruitment, ui",5,Phd in A Relevant Field In Human Or Related Field,"As a HR Manager, you will be expected to handle responsibilities including recruitment, payroll, hr, collaborating with cross-functional teams, and supporting strategic goals"
Product Designer,MarketMinds Inc.,"New York, NY",Designer (Graphic/UI/UX),Entry-level,Contract,"As a Product Designer, you will be expected to handle responsibilities including figma, ux, adobe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in prototype, ui, wireframe, ux. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in ux or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",4,Bachelor in Designer Or Related Field,"As a Product Designer, you will be expected to handle responsibilities including figma, ux, adobe, collaborating with cross-functional teams, and supporting strategic goals"
UI/UX Designer,SalesSphere Ltd.,"Austin, TX",Designer (Graphic/UI/UX),Mid,Contract,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, figma, ui, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Designer or related field is required.. Candidates must have strong skills in ux, adobe, designer, wireframe. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in adobe or equivalent hands-on experience.","ux, figma, wireframe, adobe, designer, ui",5,Master in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, figma, ui, collaborating with cross-functional teams, and supporting strategic goals"
Cloud Solutions Architect,LegalBridge LLP,"New York, NY",Information Technology (IT),Senior,Temporary,"As a Cloud Solutions Architect, you will be expected to handle responsibilities including frontend, backend, engineer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Information or related field is required.. Candidates must have strong skills in python, frontend, backend, engineer. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in backend or equivalent hands-on experience.","cloud, engineer, python, frontend, backend, ui",2,Bachelor in Information Or Related Field,"As a Cloud Solutions Architect, you will be expected to handle responsibilities including frontend, backend, engineer, collaborating with cross-functional teams, and supporting strategic goals"
Clinic Coordinator,SalesSphere Ltd.,"Austin, TX",Healthcare Professional,Senior,Part-time,"As a Clinic Coordinator, you will be expected to handle responsibilities including clinic, nurse, diagnosis, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Healthcare or related field is required.. Candidates must have strong skills in patient, diagnosis, treatment, hospital. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in hospital or equivalent hands-on experience.","treatment, hospital, nurse, clinic, ui, diagnosis, patient",2,Diploma in Healthcare Or Related Field,"As a Clinic Coordinator, you will be expected to handle responsibilities including clinic, nurse, diagnosis, collaborating with cross-functional teams, and supporting strategic goals"
Business Analyst,SalesSphere Ltd.,"Los Angeles, CA",Consultant,Mid,Temporary,"As a Business Analyst, you will be expected to handle responsibilities including presentation, analysis, strategy, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Consultant or related field is required.. Candidates must have strong skills in strategy, presentation, advisory, analysis. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in strategy or equivalent hands-on experience.","business, presentation, analysis, ui, advisory, consultant, strategy",3,Associate in Consultant Or Related Field,"As a Business Analyst, you will be expected to handle responsibilities including presentation, analysis, strategy, collaborating with cross-functional teams, and supporting strategic goals"
Farm Operations Manager,EduMentor Academy,"Los Angeles, CA",Agriculture Professional,Senior,Full-time,"As a Farm Operations Manager, you will be expected to handle responsibilities including agriculture, crop, farming, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Agriculture or related field is required.. Candidates must have strong skills in irrigation, soil, crop, farming. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in agriculture or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",3,Diploma in Agriculture Or Related Field,"As a Farm Operations Manager, you will be expected to handle responsibilities including agriculture, crop, farming, collaborating with cross-functional teams, and supporting strategic goals"
Graphic Designer,SalesSphere Ltd.,"Chicago, IL",Designer (Graphic/UI/UX),Senior,Full-time,"As a Graphic Designer, you will be expected to handle responsibilities including ux, prototype, adobe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Designer or related field is required.. Candidates must have strong skills in prototype, ux, wireframe, designer. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in adobe or equivalent hands-on experience.","prototype, ux, wireframe, adobe, designer, ui",5,Master in Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including ux, prototype, adobe, collaborating with cross-functional teams, and supporting strategic goals"
Graphic Designer,SalesSphere Ltd.,"New York, NY",Designer (Graphic/UI/UX),Senior,Contract,"As a Graphic Designer, you will be expected to handle responsibilities including adobe, wireframe, ui, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Designer or related field is required.. Candidates must have strong skills in wireframe, prototype, adobe, ui. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in figma or equivalent hands-on experience.","prototype, figma, wireframe, adobe, designer, ui",2,Master in Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including adobe, wireframe, ui, collaborating with cross-functional teams, and supporting strategic goals"
Strategy Consultant,BlueSky HR,"Chicago, IL",Consultant,Entry-level,Contract,"As a Strategy Consultant, you will be expected to handle responsibilities including analysis, consultant, presentation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Consultant or related field is required.. Candidates must have strong skills in analysis, advisory, presentation, strategy. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in consultant or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",5,Phd in A Relevant Field In Consultant Or Related Field,"As a Strategy Consultant, you will be expected to handle responsibilities including analysis, consultant, presentation, collaborating with cross-functional teams, and supporting strategic goals"
Talent Acquisition Specialist,FitCore Gym,"New York, NY",Human Resources (HR),Entry-level,Contract,"As a Talent Acquisition Specialist, you will be expected to handle responsibilities including payroll, recruitment, talent, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Human or related field is required.. Candidates must have strong skills in payroll, recruitment, employee relations, talent. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in talent or equivalent hands-on experience.","employee relations, payroll, talent, recruitment, ui",3,High school in Human Or Related Field,"As a Talent Acquisition Specialist, you will be expected to handle responsibilities including payroll, recruitment, talent, collaborating with cross-functional teams, and supporting strategic goals"
Sales Executive,EduMentor Academy,"New York, NY",Sales,Mid,Contract,"As a Sales Executive, you will be expected to handle responsibilities including lead, quota, crm, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Sales or related field is required.. Candidates must have strong skills in pipeline, sales, crm, closing. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in lead or equivalent hands-on experience.","sales, lead, crm, closing, pipeline, ui, quota",6,Bachelor in Sales Or Related Field,"As a Sales Executive, you will be expected to handle responsibilities including lead, quota, crm, collaborating with cross-functional teams, and supporting strategic goals"
Partnership Manager,PixelCraft Studios,"Los Angeles, CA",Business Development,Mid,Contract,"As a Partnership Manager, you will be expected to handle responsibilities including crm, sales, growth, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Business or related field is required.. Candidates must have strong skills in growth, business, sales, crm. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in crm or equivalent hands-on experience.","partnership, sales, business, crm, growth, ui",4,Diploma in Business Or Related Field,"As a Partnership Manager, you will be expected to handle responsibilities including crm, sales, growth, collaborating with cross-functional teams, and supporting strategic goals"
Litigation Specialist,PixelCraft Studios,"Los Angeles, CA",Advocate (Lawyer),Entry-level,Temporary,"As a Litigation Specialist, you will be expected to handle responsibilities including lawyer, contract, case, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Advocate or related field is required.. Candidates must have strong skills in court, contract, case, lawyer. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in court or equivalent hands-on experience.","litigation, contract, court, ui, case, lawyer",3,Associate in Advocate Or Related Field,"As a Litigation Specialist, you will be expected to handle responsibilities including lawyer, contract, case, collaborating with cross-functional teams, and supporting strategic goals"
Curriculum Developer,MarketMinds Inc.,"Los Angeles, CA",Teacher,Senior,Full-time,"Master’s degree in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in education, curriculum, students, classroom. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in teaching or equivalent hands-on experience.","classroom, curriculum, developer, ui, education, students, teaching",2,Master in Teacher Or Related Field,Master’s degree in Teacher or related field is required
UI/UX Designer,WellCare Health,Remote,Designer (Graphic/UI/UX),Entry-level,Temporary,"As a UI/UX Designer, you will be expected to handle responsibilities including figma, ux, prototype, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Designer or related field is required.. Candidates must have strong skills in wireframe, adobe, ui, ux. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in prototype or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",6,Associate in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including figma, ux, prototype, collaborating with cross-functional teams, and supporting strategic goals"
High School Teacher,SalesSphere Ltd.,"Los Angeles, CA",Teacher,Mid,Full-time,"PhD in a relevant field in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in teaching, education, classroom, curriculum. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in teaching or equivalent hands-on experience.","lesson, classroom, curriculum, ui, education, students, teaching",2,Phd in A Relevant Field In Teacher Or Related Field,PhD in a relevant field in Teacher or related field is required
HR Manager,PixelCraft Studios,"Los Angeles, CA",Human Resources (HR),Mid,Full-time,"As a HR Manager, you will be expected to handle responsibilities including employee relations, recruitment, hr, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Human or related field is required.. Candidates must have strong skills in employee relations, hr, talent, recruitment. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in recruitment or equivalent hands-on experience.","hr, employee relations, talent, recruitment, ui",5,Associate in Human Or Related Field,"As a HR Manager, you will be expected to handle responsibilities including employee relations, recruitment, hr, collaborating with cross-functional teams, and supporting strategic goals"
Personal Trainer,LegalBridge LLP,Remote,Fitness Trainer,Mid,Full-time,"As a Personal Trainer, you will be expected to handle responsibilities including workout, fitness, exercise, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Fitness or related field is required.. Candidates must have strong skills in trainer, workout, hiit, fitness. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in hiit or equivalent hands-on experience.","fitness, exercise, trainer, hiit, workout, ui",4,High school in Fitness Or Related Field,"As a Personal Trainer, you will be expected to handle responsibilities including workout, fitness, exercise, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in trainer, workout, hiit, fitness"
Corporate Lawyer,StratEdge Consulting,"Los Angeles, CA",Advocate (Lawyer),Mid,Part-time,"As a Corporate Lawyer, you will be expected to handle responsibilities including case, lawyer, contract, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Advocate or related field is required.. Candidates must have strong skills in lawyer, litigation, legal, contract. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in court or equivalent hands-on experience.","litigation, contract, court, legal, ui, case, lawyer",5,Bachelor in Advocate Or Related Field,"As a Corporate Lawyer, you will be expected to handle responsibilities including case, lawyer, contract, collaborating with cross-functional teams, and supporting strategic goals"
Graphic Designer,PixelCraft Studios,Remote,Designer (Graphic/UI/UX),Senior,Part-time,"As a Graphic Designer, you will be expected to handle responsibilities including designer, wireframe, ux, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Designer or related field is required.. Candidates must have strong skills in figma, adobe, ux, designer. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in adobe or equivalent hands-on experience.","ux, figma, wireframe, adobe, designer, ui",5,High school in Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including designer, wireframe, ux, collaborating with cross-functional teams, and supporting strategic goals"
HR Coordinator,StratEdge Consulting,"Chicago, IL",Human Resources (HR),Entry-level,Contract,"As a HR Coordinator, you will be expected to handle responsibilities including payroll, recruitment, talent, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Human or related field is required.. Candidates must have strong skills in payroll, recruitment, employee relations, hr. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in payroll or equivalent hands-on experience.","hr, employee relations, payroll, talent, recruitment, ui",3,Phd in A Relevant Field In Human Or Related Field,"As a HR Coordinator, you will be expected to handle responsibilities including payroll, recruitment, talent, collaborating with cross-functional teams, and supporting strategic goals"
Curriculum Developer,GourmetNest,"Austin, TX",Teacher,Senior,Contract,"Bachelor’s degree in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in lesson, teaching, classroom, curriculum. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in students or equivalent hands-on experience.","lesson, classroom, curriculum, developer, ui, education, students, teaching",5,Bachelor in Teacher Or Related Field,Bachelor’s degree in Teacher or related field is required
Business Analyst,LegalBridge LLP,Hybrid,Consultant,Mid,Part-time,"As a Business Analyst, you will be expected to handle responsibilities including advisory, consultant, strategy, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Consultant or related field is required.. Candidates must have strong skills in advisory, analysis, presentation, strategy. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in analysis or equivalent hands-on experience.","business, presentation, analysis, ui, advisory, consultant, strategy",5,Bachelor in Consultant Or Related Field,"As a Business Analyst, you will be expected to handle responsibilities including advisory, consultant, strategy, collaborating with cross-functional teams, and supporting strategic goals"
Strategy Consultant,PixelCraft Studios,"New York, NY",Consultant,Mid,Full-time,"As a Strategy Consultant, you will be expected to handle responsibilities including analysis, advisory, strategy, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Consultant or related field is required.. Candidates must have strong skills in analysis, consultant, strategy, advisory. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in consultant or equivalent hands-on experience.","analysis, ui, advisory, consultant, strategy",6,Phd in A Relevant Field In Consultant Or Related Field,"As a Strategy Consultant, you will be expected to handle responsibilities including analysis, advisory, strategy, collaborating with cross-functional teams, and supporting strategic goals"
Pastry Chef,LegalBridge LLP,Hybrid,Chef,Senior,Full-time,"As a Pastry Chef, you will be expected to handle responsibilities including culinary, recipe, cooking, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Chef or related field is required.. Candidates must have strong skills in menu, chef, cooking, recipe. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in menu or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, cooking",6,Phd in A Relevant Field In Chef Or Related Field,"As a Pastry Chef, you will be expected to handle responsibilities including culinary, recipe, cooking, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,FitCore Gym,"Chicago, IL",Advocate (Lawyer),Mid,Contract,"As a Legal Associate, you will be expected to handle responsibilities including case, contract, lawyer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Advocate or related field is required.. Candidates must have strong skills in litigation, contract, lawyer, legal. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in contract or equivalent hands-on experience.","litigation, contract, legal, ui, case, lawyer",2,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including case, contract, lawyer, collaborating with cross-functional teams, and supporting strategic goals"
Advisory Consultant,StratEdge Consulting,"New York, NY",Consultant,Entry-level,Contract,"As a Advisory Consultant, you will be expected to handle responsibilities including analysis, strategy, presentation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Consultant or related field is required.. Candidates must have strong skills in advisory, analysis, strategy, presentation. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in analysis or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",4,Bachelor in Consultant Or Related Field,"As a Advisory Consultant, you will be expected to handle responsibilities including analysis, strategy, presentation, collaborating with cross-functional teams, and supporting strategic goals"
